TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
Stand by Your Man,26,7,14,NA,NA,NA,10,NA,10,5,2,3,5,5,NA,NA,3,9,6.6,4.4,4.6,NA,NA,NA,9.7,NA,9.7,5.7,7.5,7,1,1,NA,NA,5.7,3.5
That '70s Show,77020,49164,20070,2036,1195,841,46349,32410,13939,16130,12403,3727,2567,1874,693,5,340,21174,8.1,8,8.2,8.8,8.7,8.8,8.3,8.3,8.3,7.7,7.7,7.8,7.5,7.4,7.5,5.8,6.4,8.1
That '80s Show,1487,1052,279,12,9,3,688,539,149,510,413,97,97,80,17,NA,51,667,4.3,4.3,4.6,2.2,2.4,1.3,4.2,4.1,4.9,4.4,4.4,4.5,4.9,5.1,4,NA,4.4,4.2
The Tick,2330,1759,286,4,4,NA,758,650,108,936,820,116,290,252,38,1,78,1245,7.7,7.8,7.2,8.3,8.3,NA,7.8,7.8,7.5,7.6,7.6,7,7.9,7.9,7.4,8,7,7.7
'Til Death,4240,2949,971,36,24,12,2001,1492,509,1412,1099,313,376,280,96,NA,99,1379,6.2,6.2,6.5,7.1,6.8,8.1,6.4,6.3,6.5,6.1,6.1,6.5,6.3,6.3,6.1,NA,5.1,6.1
Titus,4200,3109,676,5,3,2,1907,1581,326,1487,1251,236,313,238,75,NA,97,1868,7.4,7.4,7.3,5.9,8.7,5.5,7.7,7.7,7.5,7.1,7.1,7.2,7.1,7.1,7.1,NA,6.4,7.5
Top of the Heap,92,68,10,NA,NA,NA,18,15,3,45,42,3,13,11,2,NA,16,54,6,5.2,2.6,NA,NA,NA,5.6,7.1,1.7,4.6,4.8,4,4.7,4.6,7,NA,4.2,4.4
The Tracey Ullman Show,417,265,88,1,1,NA,49,40,9,177,131,46,117,90,27,NA,55,213,6.9,6.7,7.2,7,7,NA,6,5.7,7.3,6.5,6.3,6.9,7.5,7.5,7.5,NA,6.4,7
True Colors,64,38,15,NA,NA,NA,6,2,4,36,29,7,10,7,3,NA,11,35,7.8,7.4,7.8,NA,NA,NA,6.3,7.5,8.5,7.9,7.8,8.4,7.1,7.1,9,NA,6.2,8.2
Undeclared,11225,7967,2093,73,49,24,6167,4874,1293,3133,2572,561,385,320,65,NA,176,5396,7.8,7.9,7.6,7.4,7.4,7.5,8,8,7.5,7.8,7.8,7.7,7.2,7.1,7.7,NA,5.5,7.9
Unhitched,761,597,128,1,1,NA,333,273,60,319,278,41,55,42,13,NA,21,444,5.5,5.7,5.2,10,10,NA,5.5,5.6,4.8,5.8,5.8,5.4,5.5,4.9,7.4,NA,3.7,5.5
Wanda at Large,196,116,47,NA,NA,NA,71,48,23,55,44,11,34,23,11,NA,16,139,5.3,5,6.7,NA,NA,NA,5.7,5.3,7.3,4.5,4,7.4,5.9,6.5,4.8,NA,4.7,5.1
The War at Home,6583,4639,1425,90,56,34,4069,3085,984,1542,1249,293,260,198,62,1,121,1449,6.9,7,6.9,7.7,6.9,8.8,7.3,7.3,7.2,6.7,6.7,6.6,6.1,6.3,5.7,8,4.4,5.7
Wild Oats,7,2,3,NA,NA,NA,4,2,2,1,NA,1,NA,NA,NA,NA,2,3,6,5,5.7,NA,NA,NA,5.3,5,5.5,6,NA,6,NA,NA,NA,NA,5,4
The Winner,1097,886,141,2,2,NA,489,436,53,437,385,52,74,56,18,NA,21,770,6,6.4,4.5,7,7,NA,6.3,6.5,5.3,6.3,6.4,4.5,4.6,5.7,2.4,NA,4.8,6.3
Women in Prison,25,17,3,NA,NA,NA,NA,NA,NA,11,9,2,8,7,1,NA,3,16,7.4,6.7,7.3,NA,NA,NA,NA,NA,NA,8.1,8.2,6,5.3,5.3,10,NA,7.7,7
Woops!,70,48,11,2,2,NA,4,4,NA,32,28,4,18,14,4,NA,4,42,7.1,7.9,6.1,4.5,4.5,NA,5.5,5.5,NA,8.5,8.4,9,7.7,8,5.8,NA,6.8,7.6
Cedric the Entertainer Presents,120,80,23,NA,NA,NA,48,39,9,39,31,8,16,10,6,NA,10,74,4.7,4.8,4.7,NA,NA,NA,5.1,4.6,8.5,5,5,5.2,4.3,4.9,3.7,NA,3.2,4.7
Osbournes Reloaded,183,134,30,2,2,NA,72,58,14,71,57,14,16,15,1,NA,12,109,2.5,2.4,2.8,5.5,5.5,NA,2.9,2.9,2.6,2.2,2.1,2.9,3,3.1,1,NA,3,2.6
Townsend Television,10,5,NA,NA,NA,NA,2,2,NA,1,1,NA,2,2,NA,NA,3,4,7.4,5.2,NA,NA,NA,NA,6.5,6.5,NA,10,10,NA,9.5,9.5,NA,NA,3.3,8
CSI: Crime Scene Investigation,52493,29080,17779,849,450,399,24534,14731,9803,16094,10745,5349,4021,2530,1491,3,375,11738,7.7,7.6,8.2,8.1,7.8,8.4,7.8,7.6,8.2,7.7,7.5,8.2,7.8,7.7,8,3.7,7.3,7.7
NCIS,54440,29250,19819,1785,840,945,23549,13935,9614,14711,9523,5188,6149,3518,2631,2,283,15070,7.8,7.6,8.3,8.6,8.4,8.8,7.8,7.5,8.3,7.7,7.5,8.2,8.2,8.1,8.6,7.5,6,8
Criminal Minds,67336,29987,29480,2083,826,1257,31794,15453,16341,17073,9686,7387,5040,2620,2420,2,283,14391,8,7.7,8.6,8.8,8.5,9.1,8.2,7.8,8.7,7.8,7.5,8.4,7.9,7.7,8.4,8,6.2,7.9
The Mentalist,84022,50188,24605,2708,1540,1168,42177,28925,13252,20606,14066,6540,5535,3422,2113,4,271,11927,8,7.9,8.1,8.8,8.7,8.8,8.1,8.1,8.2,7.7,7.6,7.9,7.8,7.7,8.1,7.5,6.2,7.6
NCIS: Los Angeles,19460,10910,6460,707,387,320,8189,5153,3036,5481,3596,1885,2127,1308,819,1,175,4795,6.5,6.3,7,7.6,7.3,8,6.5,6.3,7,6.3,6.1,6.8,6.7,6.5,7.2,5,5.1,6.4
The Good Wife,25421,10792,11786,306,117,189,9924,4258,5666,8340,4303,4037,3066,1724,1342,4,192,5004,7.8,7.6,8.3,7.9,7.3,8.3,7.9,7.5,8.3,7.8,7.5,8.3,8.1,7.9,8.5,8,5.3,7.1
Hawaii Five-0,28750,16743,8838,1182,690,492,12117,8017,4100,7676,5217,2459,3155,1966,1189,2,211,6275,7.1,7,7.5,8.5,8.4,8.5,7.3,7.2,7.6,6.9,6.7,7.3,7,6.9,7.4,5,5.3,6.8
Blue Bloods,11867,7330,3230,149,105,44,3428,2461,967,4329,3096,1233,2103,1337,766,1,135,3234,7,7,7.2,7.6,7.7,7.2,6.6,6.6,6.7,7,6.9,7.3,7.6,7.5,7.9,5,4.8,6.8
Let's Make a Deal,208,133,47,4,4,NA,79,61,18,60,43,17,24,18,6,NA,10,128,6.6,6.7,6.7,6,6,NA,6.5,6.5,6.5,6.6,6.6,6.5,7.3,7.1,8.6,NA,5.8,6.8
Big Brother,5559,3087,1786,142,95,47,2381,1501,880,1635,1071,564,497,328,169,NA,124,2579,4.8,4.5,5.7,6.2,5.8,7.8,5.1,4.8,6.2,4.5,4.3,5.3,4.3,4,5.5,NA,3.8,5.5
Survivor,12989,8125,3465,252,168,84,5879,4130,1749,3892,2832,1060,1221,825,396,2,198,5058,6.5,6.4,6.8,7.4,7.2,7.9,6.9,6.8,7.1,6.2,6.1,6.6,5.7,5.5,6.3,7,6,6.4
The Amazing Race,8685,5222,2541,181,120,61,3973,2661,1312,2541,1759,782,825,563,262,1,167,2963,7.5,7.4,7.8,7.5,7.4,7.8,7.8,7.8,8,7.3,7.1,7.8,7.3,7.3,7.3,8,6.8,7.6
Undercover Boss,1514,956,423,44,27,17,578,405,173,508,371,137,188,125,63,NA,43,743,5.6,5.4,6.4,6.2,6.3,5.7,5.8,5.6,6.3,5.4,5.2,6.6,5.4,5,6.5,NA,4.5,5.7
Two and a Half Men,130718,94709,25086,4502,3290,1212,77627,61981,15646,27280,21958,5322,5268,3862,1406,4,349,18135,7.2,7.3,6.8,7.8,7.9,7.7,7.4,7.5,7,6.9,7,6.5,6.8,6.8,6.4,4,5.6,6.3
How I Met Your Mother,277101,180254,68787,11241,7277,3964,175144,127379,47765,44271,33204,11067,4802,3403,1399,9,357,37087,8.6,8.5,8.7,9.2,9.2,9.2,8.7,8.7,8.8,8.1,8.1,8.3,7.5,7.6,7.2,7.4,6.4,8.4
The Big Bang Theory,310369,198210,77022,11051,7214,3837,169733,122470,47263,63984,48098,15886,11694,8066,3628,15,380,42471,8.6,8.5,8.8,8.9,8.9,9,8.6,8.5,8.8,8.5,8.5,8.8,8.7,8.6,8.8,8.3,6.8,8.3
Mike & Molly,9174,5055,3246,200,126,74,3881,2333,1548,2887,1829,1058,977,587,390,NA,145,2485,6.2,6.1,6.7,7.2,7.1,7.1,6,5.8,6.5,6.4,6.2,7,6.7,6.4,7.3,NA,4.3,6
Accidentally on Purpose,4920,2337,2205,97,29,68,2706,1306,1400,1359,791,568,259,176,83,NA,90,1150,6,5.7,6.6,6.9,6.2,7.3,6.2,5.7,6.9,5.8,5.6,6.1,5.8,5.7,6.1,NA,4.7,5.5
"Ace Crawford, Private Eye",9,7,NA,NA,NA,NA,2,2,NA,2,2,NA,3,3,NA,NA,5,2,4.9,5.7,NA,NA,NA,NA,7,7,NA,5.5,5.5,NA,3,3,NA,NA,5.9,4
After MASH,223,161,31,2,2,NA,36,28,8,65,59,6,81,69,12,NA,34,113,5.6,5.8,4.9,5.5,5.5,NA,7.2,7.7,4.8,5.2,5.3,3.8,5.6,5.6,5.4,NA,5.7,5.3
Almost Perfect,104,57,31,NA,NA,NA,9,9,NA,46,31,15,29,16,13,NA,16,45,6.1,5.9,6.7,NA,NA,NA,6.7,6.7,NA,6,6,5.9,6,5.4,7.4,NA,5.1,5.9
Annie McGuire,14,7,2,NA,NA,NA,4,3,1,2,2,NA,3,2,1,NA,7,4,5.1,3,9.5,NA,NA,NA,4.3,2.3,10,4,4,NA,8.7,8.5,9,NA,3,7.3
Baby Bob,102,64,18,1,1,NA,40,31,9,24,20,4,15,12,3,NA,13,45,3.5,3.8,4.3,1,1,NA,3.5,3.4,4.2,3.2,2.8,5.5,4.6,5,6.7,NA,2.6,3.7
Becker,7655,5450,1378,41,31,10,3185,2551,634,2515,2064,451,901,683,218,NA,184,2533,6.9,7,6.7,7.3,7.3,6.8,7.1,7.2,6.6,6.8,6.8,6.6,7.1,7.1,7.2,NA,5.4,6.6
Bette,486,277,157,2,1,1,238,162,76,112,64,48,77,47,30,NA,24,103,6.1,6.1,6.3,8.5,10,7,6.4,6,7.1,5.9,5.9,5.9,6.2,6.3,5.9,NA,5.8,6.2
Me and the Boys,28,15,10,NA,NA,NA,4,3,1,16,10,6,5,2,3,NA,4,18,7.8,8.1,4.1,NA,NA,NA,9.5,10,8,6.8,8.3,3.4,5.9,6.5,8.7,NA,5.5,8
Can't Hurry Love,29,16,8,NA,NA,NA,5,3,2,9,7,2,10,6,4,NA,8,17,7.6,7.3,7.9,NA,NA,NA,3.7,4.3,10,8.8,8.9,8,7.1,6.9,8.3,NA,5.9,6.7
Center of the Universe,89,57,14,NA,NA,NA,43,36,7,17,13,4,11,8,3,NA,12,16,5.1,4.6,3.9,NA,NA,NA,4.1,4.4,2.5,5.2,5.3,5.8,4.6,4.3,4,NA,3.4,4.3
Charles in Charge,2455,1548,654,7,4,3,403,263,140,1425,1025,400,300,225,75,NA,122,1365,5.9,5.8,6.2,7,7.3,8.3,6.5,6.4,6.7,6,5.9,6.4,5.1,5.1,5.3,NA,5.9,5.9
Charlie Lawrence,16,8,5,NA,NA,NA,4,3,1,3,2,1,5,3,2,NA,9,8,5.8,3.9,2.6,NA,NA,NA,5.5,6.3,3,4.3,4.5,4,3.5,4.3,5.5,NA,5.2,3.7
Courting Alex,335,197,92,NA,NA,NA,116,70,46,119,88,31,48,36,12,NA,13,111,6.4,6.2,7.8,NA,NA,NA,7.1,6.4,8.2,6.4,5.9,8.3,6.7,6.7,6.7,NA,4.6,7.9
Cybill,1774,952,615,6,1,5,533,277,256,647,435,212,340,223,117,NA,95,485,6.5,6.4,6.9,9.2,10,9,6.8,6.6,7.1,6.2,6,6.8,7,7,6.9,NA,6.5,6.5
Daddy's Girls,17,9,5,NA,NA,NA,5,3,2,7,5,2,2,1,1,NA,2,5,7.5,6.8,7.6,NA,NA,NA,4.6,4.3,9.5,7.5,7.8,5,10,10,10,NA,7.5,8.2
Designing Women,1905,868,810,4,1,3,287,95,192,861,470,391,464,280,184,2,100,1252,6.6,6.1,7.4,7.3,5,8,6.8,6.2,7.3,6.3,5.7,7.5,6.9,6.7,7.6,8,6.1,6.7
Boardwalk Empire,82921,62285,12250,813,686,127,40047,34219,5828,25136,21058,4078,5368,4080,1288,6,282,16754,8.7,8.7,8.6,9,9,8.9,8.8,8.8,8.7,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8,8.8
Evening Shade,506,307,125,NA,NA,NA,36,29,7,208,150,58,178,121,57,NA,62,253,6.8,6.7,7.1,NA,NA,NA,7.3,7.3,6.9,6.4,6.1,7.5,7,7.1,6.9,NA,6.6,6.7
Everybody Loves Raymond,35338,23695,7887,673,462,211,18501,13852,4649,9402,7296,2106,2152,1574,578,3,319,9719,7,7,6.8,7.8,7.8,7.7,7.1,7.2,6.8,6.7,6.7,6.6,7,7,6.9,9.3,5.6,7
Family Album,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fast Times,75,52,12,1,NA,1,17,15,2,32,26,6,13,10,3,NA,15,47,6,4.8,4.9,10,NA,10,4.4,4.4,5.5,4.6,4.7,4.4,5.5,5.5,6,NA,4.2,4.4
Flo,96,62,18,NA,NA,NA,4,4,NA,29,20,9,46,37,9,NA,18,64,5.6,4.9,5.6,NA,NA,NA,5,5,NA,5.3,4.8,6.6,5,5.1,4.7,NA,4.6,5.1
Foley Square,14,7,3,NA,NA,NA,1,1,NA,2,1,1,7,5,2,NA,5,6,5.9,2.9,9.3,NA,NA,NA,1,1,NA,6.5,3,10,3.8,3.7,9,NA,2,3.7
Gary Unmarried,4505,3382,886,84,54,30,2401,1902,499,1379,1114,265,332,264,68,NA,67,1126,6.6,6.7,6.3,6.6,6.6,6.5,6.8,6.9,6.4,6.5,6.5,6.2,6,6.1,5.7,NA,4.6,6.8
The George Wendt Show,10,8,1,NA,NA,NA,1,1,NA,6,5,1,2,2,NA,NA,4,6,7.8,6.9,10,NA,NA,NA,8,8,NA,8.5,7.7,10,4,4,NA,NA,8.5,6.3
Hope & Gloria,22385,11833,8338,677,374,303,11282,6337,4945,5990,3837,2153,1413,895,518,NA,163,7038,7.8,7.8,8,8.3,8.4,8.1,7.9,7.8,8,7.9,7.8,8.1,7.8,7.7,7.9,NA,5.3,7.9
The Golden Palace,429,247,118,NA,NA,NA,120,77,43,173,120,53,60,43,17,NA,47,215,6.7,6.6,7,NA,NA,NA,6.7,6.7,6.6,6.6,6.6,6.9,6.5,6.3,7.1,NA,6,6.5
Good Advice,13,8,3,NA,NA,NA,1,1,NA,6,4,2,4,3,1,NA,2,6,7.5,7.8,8,NA,NA,NA,10,10,NA,7.2,8.3,8,7.8,7.7,8,NA,7.5,7.8
Good Sports,26,10,8,NA,NA,NA,3,2,1,6,4,2,9,4,5,NA,4,13,6.9,7.1,6.6,NA,NA,NA,5.7,5.5,6,8,7,8.5,6.4,6.5,5.4,NA,6.8,5.8
"Goodnight, Beantown",34,20,9,NA,NA,NA,1,1,NA,12,8,4,16,11,5,NA,14,22,6.5,6.3,6.9,NA,NA,NA,10,10,NA,6.5,6.4,8.5,6,5.7,7,NA,6,6.2
Grapevine,18,12,4,NA,NA,NA,4,2,2,9,8,1,2,1,1,NA,5,8,6.4,5.6,6.5,NA,NA,NA,8.3,9,7.5,5.4,5.4,10,3,5,1,NA,4.3,2.6
The Gregory Hines Show,45,25,9,NA,NA,NA,10,6,4,12,12,NA,12,7,5,NA,13,20,7.4,7.5,3.9,NA,NA,NA,6.4,9,5.3,7.8,7.8,NA,6.9,6.8,8.4,NA,6.1,7.5
Gun Shy,8,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,3,2,1,NA,4,2,7.1,7.7,10,NA,NA,NA,NA,NA,NA,6,6,NA,9,8.5,10,NA,6,8.5
Heartland,2098,464,1272,124,7,117,837,158,679,390,148,242,266,134,132,NA,36,521,7.6,6.7,8.5,9.5,8.7,9.6,7.9,6.3,8.7,7,6.5,7.7,7.6,7.1,8.3,NA,5.1,7.5
Hearts Afire,120,64,43,NA,NA,NA,5,4,1,48,28,20,51,31,20,NA,19,85,6.7,6.7,7.4,NA,NA,NA,5.8,7,7,7.4,7.1,8.1,6.6,6.6,6.8,NA,5.9,6.8
High Society,88,40,33,1,NA,1,20,5,15,30,18,12,21,17,4,NA,12,38,8.2,7.3,7.3,10,NA,10,8.7,9.4,8.3,7.6,8.2,5.2,6.2,6.1,7.3,NA,7.9,7
If Not for You,16,9,2,NA,NA,NA,1,NA,1,4,4,NA,6,5,1,NA,6,5,6.3,6.3,3.5,NA,NA,NA,1,NA,1,8.3,8.3,NA,5.5,5.5,6,NA,4.3,1.3
The King of Queens,42991,30840,7912,689,513,176,23058,18479,4579,11685,9490,2195,2091,1571,520,1,305,11596,7.3,7.4,6.9,7.7,7.8,7.3,7.5,7.6,7,7.1,7.1,6.8,6.9,6.9,6.6,10,5.9,7.3
Ladies Man,83,50,19,NA,NA,NA,24,14,10,35,29,6,8,6,2,NA,9,40,6.4,6.2,5.8,NA,NA,NA,6.9,6.8,7,6.2,6.6,4.8,5.3,4.9,6,NA,4.8,6.5
A League of Their Own,138,85,26,12,10,2,64,50,14,21,18,3,2,NA,2,NA,6,8,5.8,6.8,8.9,9.6,9.5,10,6.4,5.9,8.7,7.4,7.4,6.3,9.5,NA,9.5,NA,1.2,1.7
Listen Up,317,220,48,NA,NA,NA,136,111,25,106,90,16,19,15,4,NA,19,105,5.8,5.9,5.5,NA,NA,NA,6.2,6.3,5.4,5.3,5.2,5.7,5.6,6.2,4.3,NA,5,5.8
Love Monkey,694,436,153,NA,NA,NA,233,167,66,246,195,51,95,68,27,NA,32,302,7.1,7.3,6.7,NA,NA,NA,7.1,7.3,6.6,7.2,7.2,6.9,6.9,7.2,5.9,NA,4.6,7.1
Suzanne Pleshette Is Maggie Briggs,6,3,3,NA,NA,NA,NA,NA,NA,3,2,1,3,1,2,NA,2,4,6.7,4.3,9,NA,NA,NA,NA,NA,NA,4.3,3,7,9,7,10,NA,5,8.5
Major Dad,669,437,167,NA,NA,NA,84,59,25,376,276,100,130,97,33,NA,66,360,5.8,5.6,6.4,NA,NA,NA,5.9,5.9,6,5.6,5.4,6.5,6.1,6,6.2,NA,5.8,5.8
Meego,75,42,20,NA,NA,NA,35,20,15,20,16,4,6,6,NA,NA,9,18,5.8,4.7,6.4,NA,NA,NA,6.9,6.6,7.3,4.3,4,6.5,1.9,1.9,NA,NA,4.2,3.8
Muddling Through,20,14,5,NA,NA,NA,5,3,2,10,8,2,4,3,1,NA,6,11,6.7,5.8,5.8,NA,NA,NA,4.6,6.3,10,5.7,5.8,6,7.3,7.7,6,NA,5.3,7.1
Murphy Brown,3251,1880,988,5,4,1,612,371,241,1470,989,481,713,481,232,1,158,1456,6.8,6.7,7.3,9.3,9.3,7,7.1,7,7.3,6.6,6.4,7.2,7.1,7,7.6,8,6.4,6.8
My Big Fat Greek Life,496,280,147,1,NA,1,214,134,80,138,100,38,63,43,20,NA,38,142,3.7,3.5,3.8,4,NA,4,3.8,3.6,4.3,3.6,3.5,3.7,3.3,3.5,2.9,NA,3.6,2.9
My Sister Sam,148,62,60,NA,NA,NA,3,NA,3,65,33,32,50,27,23,NA,25,101,6.9,6.4,7.2,NA,NA,NA,10,NA,10,6.6,6.5,6.7,6.6,6.3,7.1,NA,6.4,6.8
The Nanny,20328,9400,8896,393,140,253,10470,4777,5693,5590,3430,2160,1389,881,508,2,259,4950,6.5,6.1,7.3,7.8,7.2,8.1,6.8,6.3,7.5,6.1,5.8,6.9,6.4,6.2,6.9,6,5.7,6.2
The New Adventures of Old Christine,7955,4314,3171,112,66,46,3809,2112,1697,2561,1588,973,801,482,319,NA,127,2738,6.7,6.5,7.3,7.7,7.6,7.6,6.9,6.5,7.4,6.6,6.4,7.1,6.6,6.4,6.9,NA,5.4,6.8
Normal Life,9,5,3,NA,NA,NA,1,NA,1,4,3,1,3,2,1,NA,3,6,6.2,5.1,7.7,NA,NA,NA,10,NA,10,5.8,6,5,6,5,8,NA,4.7,5.2
Out of Practice,756,378,294,1,NA,1,333,183,150,221,135,86,103,54,49,1,30,217,7,6.8,8,9,NA,9,7.1,6.6,8.1,7.2,6.8,8.2,7.3,7.3,7.4,4,4.7,7.3
Park Place,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Private Benjamin,98,61,23,NA,NA,NA,4,4,NA,45,31,14,32,24,8,NA,23,47,5.9,5.3,5.9,NA,NA,NA,7.8,7.8,NA,5.6,5.3,6.2,5.3,5.3,5.1,NA,5.2,4.9
Raising Miranda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roxie,5,3,1,NA,NA,NA,2,1,1,1,1,NA,1,1,NA,NA,4,2,6.4,6,7,NA,NA,NA,6,5,7,6,6,NA,7,7,NA,NA,6.3,7
The Royal Family,103,64,26,1,1,NA,33,24,9,41,28,13,13,11,2,NA,11,43,6.7,6.3,7.3,4,4,NA,4.4,4.5,4.1,7.2,6.5,9.1,7.6,8,6.5,NA,6.1,6.6
Rules of Engagement,18008,12060,4235,444,296,148,9218,6806,2412,4657,3566,1091,1157,869,288,NA,157,4284,7,7,6.8,7.2,7.3,7,7,7.1,6.8,6.9,6.9,6.7,6.8,6.9,6.6,NA,4.7,6.7
Some of My Best Friends,77,43,16,NA,NA,NA,13,8,5,21,16,5,23,19,4,NA,6,28,7.8,6.7,5.1,NA,NA,NA,6.4,5.7,7.8,5.8,6.5,4.5,6.3,7.4,5.3,NA,5.9,5.4
Square Pegs,563,291,180,1,1,NA,63,30,33,226,133,93,169,122,47,NA,49,365,6.9,6.9,7.4,8,8,NA,7.9,7.8,7.9,6.6,6.2,7.4,7.3,7.3,7,NA,5.4,7.1
Still Standing,5112,3229,1301,55,32,23,2571,1796,775,1372,1044,328,424,308,116,NA,118,2428,7.1,7.1,7.3,7.9,7.7,8.1,7.2,7.1,7.3,7,6.9,7.2,7.4,7.3,7.7,NA,4.6,7.2
The Stones,21,11,5,NA,NA,NA,4,3,1,9,7,2,3,1,2,NA,9,7,5.3,3,2.4,NA,NA,NA,3.8,4,3,4,3.8,10,2.3,3,2,NA,3.2,2.4
Teech,7,4,1,NA,NA,NA,1,1,NA,4,3,1,NA,NA,NA,NA,1,2,5.3,4.8,7,NA,NA,NA,4,4,NA,5.5,5,7,NA,NA,NA,NA,7,6
Trial and Error,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Trouble with Larry,35,25,4,1,NA,1,7,6,1,14,12,2,7,7,NA,NA,7,12,5.3,3.2,9,10,NA,10,2.3,2.2,10,4.9,4.5,8,1.9,1.9,NA,NA,2,2.6
The Van Dyke Show,26,15,4,NA,NA,NA,3,1,2,6,4,2,9,9,NA,NA,10,9,6.4,6,6,NA,NA,NA,4.7,1,6.5,5.1,5.5,5.5,6.3,6.3,NA,NA,5.6,5.8
Welcome to New York,31,20,8,NA,NA,NA,14,10,4,6,5,1,8,5,3,NA,3,12,7.7,5.8,2.3,NA,NA,NA,6.8,6.6,10,4.6,4.6,5,4.7,5.9,7,NA,5.3,4.8
Welcome to the Captain,358,246,59,2,2,NA,122,96,26,131,114,17,42,32,10,NA,20,194,5.7,5.9,5.9,8.5,8.5,NA,6.4,6.3,7.2,5.7,5.7,5.3,5.4,5.5,5.3,NA,4.6,5.7
The Worst Week of My Life,972,634,208,11,7,4,386,272,114,315,254,61,116,96,20,NA,29,115,7.4,7.6,7.4,8.6,8.6,9,7.6,7.7,7.3,7.5,7.5,7.9,7.5,7.4,8.1,NA,5.3,6.2
"Yes, Dear",4379,2949,1017,68,45,23,2179,1637,542,1300,998,302,332,224,108,NA,94,2322,6.7,6.6,6.9,7.9,7.7,8.3,6.9,6.9,7,6.4,6.3,6.9,6.6,6.6,6.7,NA,5.3,6.8
3 lbs.,369,184,133,NA,NA,NA,144,79,65,113,77,36,56,27,29,1,23,128,6.2,6.2,6.8,NA,NA,NA,6.3,5.8,7.2,6.2,6.4,5.5,6.6,6.4,6.9,8,5.5,6.9
The Agency,435,260,114,NA,NA,NA,94,63,31,148,103,45,127,92,35,NA,35,186,6.8,7.2,6.4,NA,NA,NA,6.8,6.9,6.4,6.8,6.9,6.4,7.5,7.7,6.1,NA,5.1,6.8
The Bradys,109,70,23,NA,NA,NA,26,13,13,43,35,8,22,20,2,NA,11,63,4.3,4.6,5.4,NA,NA,NA,5.3,5.3,5.3,4.9,4.5,6.5,4.3,4.4,6.5,NA,3.5,4.3
Cane,1059,700,275,NA,NA,NA,394,300,94,414,303,111,154,92,62,NA,38,445,6.6,6.6,6.9,NA,NA,NA,6.9,6.7,7.3,6.6,6.6,6.4,6.4,6.1,7,NA,5.2,6.4
Chicago Hope,2006,1072,691,2,1,1,520,331,189,873,551,322,328,176,152,NA,98,507,6.5,6.3,7,8.5,7,10,6.4,6.2,6.9,6.4,6.2,6.9,7,6.8,7.3,NA,6,6.6
Christy,568,129,364,3,2,1,207,41,166,171,39,132,97,46,51,NA,30,320,7.3,7.1,7.7,8.7,8,10,7.7,7.4,8,7.4,6.6,7.7,7.2,7.1,7.2,NA,6.4,7.4
Citizen Baines,36,20,8,NA,NA,NA,6,5,1,13,9,4,7,6,1,NA,10,17,6.2,5.8,6,NA,NA,NA,7,7,10,5,4.4,5.3,4.6,5.5,1,NA,6.1,5.5
City of Angels,82,31,38,1,1,NA,25,13,12,24,8,16,16,8,8,NA,9,46,7.3,5.2,6.6,10,10,NA,6.7,5.8,8.9,4.9,3.8,6.7,5,5.5,3.9,NA,3.7,5.5
Mickey Mouse Clubhouse,650,390,189,34,23,11,278,187,91,214,142,72,35,31,4,NA,28,226,5.8,5.7,6.7,4.4,4.4,4.4,5.6,5.3,6.5,6.3,6.1,7.2,6,5.9,7,NA,5.2,6.1
Crazy Like a Fox,258,174,50,NA,NA,NA,7,5,2,133,109,24,77,57,20,NA,32,121,6.8,6.7,7.1,NA,NA,NA,8.9,8.2,10,6.7,6.6,6.8,6.9,6.8,7.2,NA,6.1,6.9
The Defenders,3148,2193,745,41,29,12,1279,986,293,1083,828,255,442,300,142,NA,83,833,7,7.1,7,8.3,8.4,8.1,7.1,7.2,6.7,7,7,6.8,7.2,7.1,7.6,NA,5,6.8
